article_id,article_url,category,ranking_mode,resolver_mode,human_correct,system_name,match,human_level,system_level,level_match,human_city,system_city,city_match,system_postal,elapsed_s
38,https://www.kokkola.fi/tiedotteet/valtakunnallinen-ilmapuolustusharjoitus-lohtajalla-15-24-11/,City or Municipality,postal_first,geoapi,Lohtaja,Lohtaja,1,CITY,POSTAL,0,,Kokkola,0,68230,16.89
39,https://www.jarvenpaa.fi/a/powerfestival-rantautuu-jarvenpaahan/,Culture and Music,postal_first,geoapi,Järvenpää,Järvenpää,1,CITY,CITY,1,,Järvenpää,0,,16.25
40,https://www.seinajoki.fi/virtuaalivesijumppaa-monitoimialtaalla/,Sports and Fitness,postal_first,geoapi,Seinäjoki,Seinäjoki,1,CITY,CITY,1,,Seinäjoki,0,,4.76
41,https://yle.fi/a/3-12636602,Local News,postal_first,geoapi,Lieksa,Lieksa,1,CITY,CITY,1,,Lieksa,0,,14.18
42,https://poliisi.fi/-/poliisi-ei-epaile-rikosta-lampokeskukseen-tunkeutumisesta-helsingissa,Authority Info,postal_first,geoapi,Hernesaari,Hernesaari,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,,6.05
43,https://www.suomenuutiset.fi/pahoinpitelyista-ja-ryostoista-epailty-nuorisojoukko-herattaa-huolta-ja-kuumotusta-helsingin-onnellisten-saarella/,Authority Info,postal_first,geoapi,Lauttasaari,Lauttasaari,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,,19.13
44,https://poliisi.fi/-/poliisi-tutkii-vuosaaressa-tapahtunutta-tapon-yritysta,Authority Alerts,postal_first,geoapi,Vuosaari,Vuosaari,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,,5.4
45,https://poliisi.fi/-/poliisi-jatkaa-malminkartanossa-tapahtuneen-henkirikoksen-tutkintaa,Authority Alerts,postal_first,geoapi,Malminkartano,Malminkartano,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,410,5.55
46,https://poliisi.fi/-/poliisi-pyytaa-havaintoja-oulun-alppilassa-tapahtuneesta-torkeasta-ryostosta,Authority Alerts,postal_first,geoapi,Alppila,Alppila,1,POSTAL,POSTAL,1,Oulu,Oulu,1,,7.04
47,https://nuorten.hel.fi/en/events/?event_id=helsinki:agntkoltny,Culture and Music,postal_first,geoapi,Kanneltalo,Eurooppa,0,POSTAL,POSTAL,1,Helsinki,Lempäälä,0,33880,16.86
48,https://www.ouka.fi/uutiset/tuiran-kirjasto-sulkeutuu-304-muuton-vuoksi,City or Municipality,postal_first,geoapi,Tuira,Tuira kirjasto,0,POSTAL,POSTAL,1,Oulu,Oulu,1,,11.94
49,https://kalenteri.turku.fi/fi-FI/page/68219583a421a20ddcd0db91,Culture and Music,postal_first,geoapi,Kupittaanpuisto,Turku,0,POSTAL,CITY,0,Turku,Turku,1,,17.75
50,https://hervantaopenair.com/,Culture and Music,postal_first,geoapi,Hervanta,Hervanta Open Air,0,POSTAL,POSTAL,1,Tampere,Tampere,1,,50.49
51,https://tapahtumat.tampere.fi/fi-FI/page/65cb1b054921d33b28e7812b?count=24&sort=creationDate&reverse=true,Culture and Music,postal_first,geoapi,Tammela,Tammela,1,POSTAL,CITY,0,Tampere,Tammela,0,,8.1
52,https://www.hel.fi/fi/uutiset/kallion-kesakatujen-rakentaminen-alkaa,Traffic and Street Work,postal_first,geoapi,Kallio,Kallio,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,530,44.07
53,https://www.hel.fi/fi/uutiset/mellunmaenluhdan-luonnonsuojelualueelle-hoito-ja-kayttosuunnitelma,Traffic and Street Work,postal_first,geoapi,Mellunmäki,Vartiokylä,0,POSTAL,POSTAL,1,Helsinki,Helsinki,1,,15.44
54,https://www.hel.fi/fi/uutiset/itavaylan-ylittava-silta-suljetaan-korjauksen-ajaksi-kulosaaressa,Traffic and Street Work,postal_first,geoapi,Kulosaari,Kulosaari,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,570,16.04
55,https://www.hel.fi/fi/uutiset/fredrikintorin-peruskorjaus-alkaa-punavuoressa,City or Municipality,postal_first,geoapi,Punavuori,Punavuori,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,,9.59
56,https://www.vantaa.fi/fi/ajankohtaista/uutinen/ratatien-lapiajo-paattyy,Traffic and Street Work,postal_first,geoapi,Tikkurila,Tikkurila,1,POSTAL,POSTAL,1,Vantaa,Vantaa,1,,12.07
57,https://www.mtvuutiset.fi/artikkeli/espoon-matinkylassa-on-viime-vuosina-poltettu-ainakin-10-autoa-poliisi-tuskastuttavassa-tilanteessa-ei-ainoan-ainutta-vihjetta/7881806,Authority Info,postal_first,geoapi,Matinkylä,Matinkylä,1,POSTAL,POSTAL,1,Espoo,Espoo,1,2230,17.36
58,https://kirkkonummi.fi/talviloman-maksuttomat-yleisoluisteluvuorot/,Sports and Fitness,postal_first,geoapi,Kirkkonummi,vanha rantatie 8,0,CITY,POSTAL,0,,Ulvila,0,28450,15.74
59,https://www.ylojarvi.fi/verkkopuntari-hyvinvoinnin-verkkovalmennus-nuorille/,Sports and Fitness,postal_first,geoapi,Ylöjärvi,Ylöjärvi,1,CITY,CITY,1,,Ylöjärvi,0,,17.16
60,https://saarijarvi.fi/ajankohtaista/saarijarven-kaupungin-vapaa-aikapalvelut-pyytaa-esityksia-vuonna-2025-menestyneista-urheilijoista/,Sports and Fitness,postal_first,geoapi,Saarijärvi,Saarijärvi,1,CITY,CITY,1,,Saarijärvi,0,,16
